iter	Passed	Remaining
940	3673	230
941	3677	226
942	3680	222
943	3684	218
944	3687	214
945	3691	210
946	3695	206
947	3698	202
948	3703	199
949	3706	195
950	3710	191
951	3714	187
952	3718	183
953	3722	179
954	3725	175
955	3729	171
956	3733	167
957	3737	163
958	3740	159
959	3744	156
960	3748	152
961	3752	148
962	3755	144
963	3759	140
964	3763	136
965	3767	132
966	3770	128
967	3774	124
968	3778	120
969	3782	116
970	3786	113
971	3790	109
972	3794	105
973	3797	101
974	3801	97
975	3805	93
976	3809	89
977	3813	85
978	3816	81
979	3820	77
980	3824	74
981	3828	70
982	3832	66
983	3835	62
984	3839	58
985	3843	54
986	3847	50
987	3850	46
988	3854	42
989	3858	38
990	3862	35
991	3866	31
992	3870	27
993	3873	23
994	3877	19
995	3881	15
996	3885	11
997	3888	7
998	3892	3
999	3896	0
